期号,   红1 , 红2 , 红3 , 红4 , 红5 , 红6 , 蓝1 
2017046,4,13,14,23,26,32,10
2017045,5,7,16,20,21,25,5
2017044,8,16,19,21,31,32,6
2017043,8,13,16,23,27,31,8
2017042,1,2,4,7,10,23,4
2017041,4,10,13,15,22,27,4
2017040,15,19,23,28,29,33,4
2017039,2,4,12,14,17,24,15
2017038,1,4,8,13,24,27,5
2017037,11,15,20,22,25,30,5
2017036,1,2,5,10,24,27,15
2017035,1,6,14,24,28,32,12
2017034,4,7,8,19,32,33,13
2017033,5,7,15,20,23,30,15
2017032,5,8,15,24,27,31,11
2017031,6,10,16,26,27,29,3
2017030,1,7,9,20,23,30,2
2017029,2,15,21,23,25,30,10
2017028,7,8,12,13,22,30,9
2017027,2,4,11,14,27,30,5
2017026,3,10,12,19,27,30,8
2017025,2,15,16,17,22,32,7
2017024,9,21,25,26,29,31,13
2017023,1,3,4,11,18,22,14
2017022,2,6,15,16,18,32,15
2017021,2,5,10,22,32,33,9
2017020,4,8,10,12,31,33,10
2017019,4,6,8,12,23,25,8
2017018,1,2,3,17,25,31,9
2017017,3,7,8,10,22,23,12
2017016,5,8,16,22,27,29,2
2017015,1,8,9,14,17,32,1
2017014,6,8,18,20,23,31,13
2017013,8,11,28,29,31,33,6
2017012,10,11,14,15,16,24,7
2017011,10,11,12,23,26,29,16
2017010,5,8,19,25,28,30,7
2017009,2,6,8,9,15,29,14
2017008,7,13,15,27,28,29,13
2017007,2,4,5,24,26,33,15
2017006,2,4,8,26,29,33,8
2017005,6,11,12,22,23,30,5
2017004,5,13,17,26,27,30,7
2017003,1,4,8,15,27,32,16
2017002,15,19,23,24,25,32,3
2017001,9,11,14,20,25,26,15
2016153,7,9,16,24,25,29,6
2016152,2,8,9,16,20,22,7
2016151,6,11,16,20,22,33,7
2016150,2,4,5,9,13,21,5
2016149,3,20,23,26,32,33,7
2016148,1,2,11,20,26,30,14
2016147,4,14,18,28,31,32,12
2016146,3,7,15,16,17,23,10
2016145,1,3,7,12,19,20,6
2016144,4,10,12,27,32,33,5
2016143,6,9,23,24,25,33,13
2016142,1,10,17,21,23,30,12
2016141,4,13,15,17,21,24,15
2016140,1,2,5,17,26,32,10
2016139,1,6,19,26,28,30,3
2016138,7,16,20,24,25,30,7
2016137,1,6,9,10,15,32,14
2016136,2,7,10,20,27,29,3
2016135,2,8,10,18,20,33,12
2016134,11,12,13,14,18,33,13
2016133,15,16,21,22,27,33,15
2016132,5,8,13,19,27,28,7
2016131,4,10,18,19,25,27,2
2016130,3,17,21,23,27,28,1
2016129,5,6,8,21,31,33,14
2016128,4,9,11,17,26,27,13
2016127,7,12,17,26,29,31,16
